,0
1125,India
1126,India
1127,India
1128,India
1129,India
1130,India
1131,India
1132,India
1133,India
1134,India
1135,India
1136,India
1137,India
1138,India
1139,India
1140,India
1141,India
1142,India
1143,India
1144,India
1145,India
1146,India
1147,India
1148,India
1149,India
1150,India
1151,India
1152,India
1153,India
1154,India
1155,India
1156,India
1157,India
1158,India
1159,India
1160,India
1161,India
1162,India
1163,India
1164,India
1165,India
1166,India
1167,India
1168,India
1169,India
1170,India
1171,India
1172,India
1173,India
1174,India
1175,India
1176,India
1177,India
1178,India
1179,India
1180,India
1181,India
1182,India
1183,India
1184,India
1185,India
1186,India
1187,India
1188,India
1189,India
1190,India
1191,India
1192,India
1193,India
1194,India
1195,India
1196,India
1197,India
1198,India
1199,India
1200,India
1201,India
1202,India
1203,India
1204,India
1205,India
1206,Belgien
1207,India
1208,India
1209,India
1210,India
1211,India
1212,India
1213,India
1214,India
1215,India
1216,India
1217,India
1218,India
1219,India
1220,India
1221,India
1222,India
1223,India
1224,India
1225,India
1226,India
1227,India
1228,India
1229,India
1230,India
1231,India
1232,India
1233,India
1234,India
1235,India
1236,India
1237,India
1238,India
1239,India
1240,India
1241,India
1242,India
1243,India
1244,India
1245,India
1246,India
1247,India
1248,India
1249,India
1250,India
1251,India
1252,India
1253,India
1254,India
1255,India
1256,India
1257,India
1258,India
1259,India
1260,India
1261,India
1262,India
1263,India
1264,India
1265,India
1266,India
1267,India
1268,India
1269,India
1270,India
1271,India
1272,India
1273,India
1274,India
1275,India
1276,India
1277,India
1278,India
1279,India
1280,India
1281,India
1282,India
1283,India
1284,India
1285,India
1286,India
1287,India
1288,India
1289,India
1290,India
1291,India
1292,India
1293,India
1294,India
1295,India
1296,India
1297,India
1298,India
1299,India
1300,India
1301,India
1302,India
1303,India
1304,India
1305,India
1306,India
1307,India
1308,India
1309,India
1310,India
1311,India
1312,India
1313,India
1314,India
1315,India
1316,India
1317,India
1318,India
1319,India
1320,India
1321,India
1322,India
1323,India
1324,India
1325,India
1326,India
1327,India
1328,India
1329,India
1330,India
1331,India
1332,India
1333,India
1334,India
1335,India
1336,India
1337,India
1338,India
1339,India
1340,India
1341,India
1342,India
1343,India
1344,India
1345,India
1346,India
1347,India
1348,India
1349,India
1350,India
1351,India
1352,India
1353,India
1354,India
1355,India
1356,India
1357,India
1358,India
1359,India
1360,India
1361,India
1362,India
1363,India
1364,India
1365,India
1366,India
1367,India
1368,India
1369,India
1370,India
1371,India
1372,India
1373,India
1374,India
1375,India
1376,India
1377,India
1378,India
1379,India
1380,India
1381,India
1382,India
1383,India
1384,India
1385,India
1386,India
1387,India
1388,India
1389,India
1390,India
1391,India
1392,India
1393,India
1394,India
1395,India
1396,India
1397,India
1398,India
1399,India
1400,India
1401,India
1402,India
1403,India
1404,India
1405,India
1406,India
1407,India
1408,India
1409,India
1410,India
1411,India
1412,India
1413,India
1414,India
1415,India
1416,India
1417,India
1418,India
1419,India
1420,India
1421,India
1422,India
1423,India
1424,India
1425,India
1426,India
1427,India
1428,India
1429,India
1430,India
1431,India
1432,India
1433,India
1434,India
1435,India
1436,India
1437,India
1438,India
1439,India
1440,India
1441,India
1442,India
1443,India
1444,India
1445,India
1446,India
1447,India
1448,India
1449,India
1450,India
1451,India
1452,India
1453,India
1454,India
1455,India
1456,India
1457,India
1458,India
1459,India
1460,India
1461,India
1462,India
1463,India
1464,India
1465,India
1466,India
1467,India
1468,India
1469,India
1470,India
1471,India
1472,India
1473,India
1474,India
1475,India
1476,India
1477,India
1478,India
1479,India
1480,India
1481,India
1482,India
1483,India
1484,India
1485,India
1486,India
1487,India
1488,India
1489,India
1490,India
1491,India
1492,India
1493,India
1494,India
1495,India
1496,India
1497,India
1498,India
1499,India
1500,India
1501,India
1502,India
1503,India
1504,India
1505,India
1506,India
1507,India
1508,India
1509,India
1510,India
1511,India
1512,India
1513,India
1514,India
1515,India
1516,India
1517,India
1518,India
1519,India
1520,India
1521,India
1522,India
1523,India
1524,India
1525,India
1526,India
1527,India
1528,India
1529,India
1530,India
1531,India
1532,India
1533,India
1534,India
1535,India
1536,India
1537,India
1538,India
1539,India
1540,India
1541,India
1542,India
1543,India
1544,India
1545,India
1546,India
1547,India
1548,India
1549,India
1550,India
1551,India
1552,India
1553,India
1554,India
1555,India
1556,India
1557,India
1558,India
1559,India
1560,India
1561,India
1562,India
1563,India
1564,India
1565,India
1566,India
1567,India
1568,India
1569,India
1570,India
1571,India
1572,India
1573,India
1574,India
1575,India
1576,India
1577,India
1578,India
1579,India
1580,India
1581,India
1582,India
1583,India
1584,India
1585,India
1586,India
1587,India
1588,India
1589,ປະເທດລາວ
1590,India
1591,India
1592,India
1593,India
1594,India
1595,India
1596,India
1597,India
1598,India
1599,India
1600,India
1601,India
1602,India
1603,India
1604,India
1605,India
1606,India
1607,India
1608,India
1609,India
1610,India
1611,India
1612,India
1613,India
1614,India
1615,India
1616,India
1617,India
1618,India
1619,India
1620,India
1621,India
1622,India
1623,India
1624,India
1625,India
1626,India
1627,India
1628,India
1629,India
1630,India
1631,India
1632,India
1633,India
1634,India
1635,India
1636,India
1637,India
1638,India
1639,India
1640,India
1641,India
1642,India
1643,India
1644,India
1645,India
1646,India
1647,India
1648,India
1649,India
1650,India
1651,India
1652,India
1653,India
1654,India
1655,India
1656,India
1657,India
1658,India
1659,India
1660,India
1661,India
1662,India
1663,India
1664,India
1665,India
1666,India
1667,India
1668,India
1669,India
1670,India
1671,India
1672,India
1673,India
1674,India
1675,India
1676,India
1677,India
1678,India
1679,India
1680,India
1681,India
1682,India
1683,India
1684,India
1685,India
1686,日本
1687,India
1688,India
1689,India
1690,India
1691,India
1692,India
1693,India
1694,India
1695,India
1696,India
1697,India
1698,India
1699,India
1700,India
1701,India
1702,India
1703,India
1704,India
1705,India
1706,India
1707,India
1708,India
1709,India
1710,India
1711,India
1712,India
1713,India
1714,India
1715,India
1716,India
1717,India
1718,India
1719,India
1720,India
1721,India
1722,India
1723,India
1724,India
1725,India
1726,India
1727,India
1728,India
1729,India
1730,India
1731,India
1732,India
1733,India
1734,India
1735,India
1736,India
1737,India
1738,India
1739,India
1740,India
1741,India
1742,India
1743,India
1744,India
1745,India
1746,India
1747,India
1748,India
1749,India
1750,India
1751,India
1752,日本
1753,India
1754,India
1755,India
1756,India
1757,India
1758,India
1759,India
1760,India
1761,India
1762,India
1763,India
1764,India
1765,India
1766,India
1767,India
1768,India
1769,India
1770,India
1771,India
1772,India
1773,India
1774,India
1775,India
1776,India
1777,India
1778,India
1779,India
1780,India
1781,India
1782,India
1783,India
1784,India
1785,India
1786,India
1787,India
1788,India
1789,India
1790,India
1791,India
1792,India
1793,India
1794,India
1795,India
1796,India
1797,India
1798,India
1799,India
1800,India
1801,India
1802,India
1803,India
1804,ປະເທດລາວ
1805,India
1806,India
1807,India
1808,India
1809,India
1810,India
1811,India
1812,India
1813,India
1814,India
1815,India
1816,India
1817,India
1818,India
1819,India
1820,India
1821,India
1822,India
1823,India
1824,India
1825,India
1826,India
1827,India
1828,India
1829,India
1830,India
1831,India
1832,India
1833,India
1834,India
1835,India
1836,India
1837,India
1838,India
1839,India
1840,India
1841,India
1842,India
1843,India
1844,India
1845,India
1846,India
1847,India
1848,India
1849,India
1850,India
1851,India
1852,India
1853,India
1854,India
1855,India
1856,India
1857,India
1858,India
1859,India
1860,India
1861,India
1862,India
1863,India
1864,India
1865,India
1866,India
1867,India
1868,India
1869,India
1870,India
1871,India
1872,India
1873,India
1874,India
1875,India
1876,India
1877,India
1878,India
1879,India
1880,India
1881,India
1882,India
1883,India
1884,India
1885,India
1886,India
1887,India
1888,India
1889,India
1890,India
1891,India
1892,India
1893,India
1894,India
1895,India
1896,India
1897,India
1898,India
1899,India
1900,India
1901,India
1902,India
1903,India
1904,India
1905,India
1906,India
1907,India
1908,India
1909,India
1910,India
1911,India
1912,India
1913,India
1914,India
1915,India
1916,India
1917,India
1918,India
1919,India
1920,India
1921,India
1922,India
1923,India
1924,India
1925,India
1926,India
1927,India
1928,India
1929,India
1930,India
1931,India
1932,India
1933,India
1934,India
1935,India
1936,India
1937,India
1938,India
1939,India
1940,India
1941,India
1942,India
1943,India
1944,India
1945,India
1946,India
1947,India
1948,India
1949,India
1950,India
1951,India
1952,India
1953,India
1954,India
1955,India
1956,India
1957,India
1958,India
1959,India
1960,India
1961,India
1962,India
1963,India
1964,India
1965,India
1966,India
1967,India
1968,India
1969,India
1970,India
1971,India
1972,India
1973,India
1974,India
1975,Ireland
1976,India
1977,India
1978,India
1979,India
1980,India
1981,India
1982,India
1983,India
1984,India
1985,India
1986,India
1987,India
1988,India
1989,India
1990,India
1991,India
1992,India
1993,India
1994,India
1995,India
1996,India
1997,India
1998,India
1999,India
2000,India
2001,India
2002,India
2003,India
2004,India
2005,India
2006,India
2007,India
2008,India
2009,India
2010,India
2011,India
2012,India
2013,India
2014,India
2015,India
2016,India
2017,India
2018,India
2019,India
2020,India
2021,India
2022,India
2023,India
2024,India
2025,India
2026,India
2027,India
2028,India
2029,India
2030,India
2031,India
2032,India
2033,India
2034,India
2035,India
2036,India
2037,India
2038,India
2039,India
2040,India
2041,India
2042,India
2043,India
2044,India
2045,India
2046,India
2047,India
2048,India
2049,India
2050,India
2051,India
2052,India
2053,India
2054,India
2055,India
2056,India
2057,India
2058,India
2059,India
2060,India
2061,India
2062,India
2063,India
2064,India
2065,India
2066,India
2067,India
2068,India
2069,India
2070,India
2071,India
2072,India
2073,India
2074,India
2075,India
2076,India
2077,India
2078,India
2079,India
2080,India
2081,India
2082,India
2083,India
2084,India
2085,India
2086,India
2087,India
2088,India
2089,India
2090,India
2091,India
2092,India
2093,India
2094,India
2095,India
2096,India
2097,India
2098,India
2099,India
2100,India
2101,India
2102,India
2103,India
2104,India
2105,India
2106,India
2107,India
2108,India
2109,India
2110,India
2111,India
2112,India
2113,India
2114,India
2115,India
2116,India
2117,India
2118,India
2119,India
2120,India
2121,India
2122,India
2123,India
2124,India
2125,India
2126,India
2127,India
2128,India
2129,India
2130,India
2131,India
2132,India
2133,India
2134,India
2135,India
2136,India
2137,India
2138,India
2139,India
2140,India
2141,India
2142,India
2143,India
2144,India
2145,India
2146,India
2147,India
2148,India
2149,India
2150,India
2151,India
2152,India
2153,India
2154,India
2155,India
2156,States
2157,India
2158,India
2159,India
2160,India
2161,India
2162,India
2163,India
2164,India
2165,India
2166,India
2167,India
2168,India
2169,India
2170,India
2171,India
2172,India
2173,India
2174,India
2175,India
2176,India
2177,India
2178,India
2179,India
2180,India
2181,India
2182,India
2183,India
2184,India
2185,India
2186,India
2187,India
2188,India
2189,India
2190,India
2191,India
2192,India
2193,India
2194,India
2195,India
2196,India
2197,India
2198,India
2199,India
2200,India
2201,India
2202,India
2203,India
2204,India
2205,India
2206,India
2207,India
2208,India
2209,India
2210,India
2211,India
2212,India
2213,India
2214,India
2215,India
2216,India
2217,India
2218,India
2219,India
2220,India
2221,India
2222,India
2223,India
2224,India
2225,India
2226,India
2227,India
2228,India
2229,India
2230,India
2231,India
2232,India
2233,India
2234,India
2235,India
2236,India
2237,India
2238,India
2239,India
2240,India
2241,States
2242,India
2243,States
2244,India
2245,India
2246,India
2247,India
2248,India
2249,India
2250,India
2251,India
2252,India
2253,India
2254,India
2255,India
2256,India
2257,India
2258,India
2259,India
2260,India
2261,India
2262,India
2263,India
2264,India
2265,India
2266,India
2267,India
2268,India
2269,India
2270,India
2271,India
2272,India
2273,India
2274,India
2275,India
2276,India
2277,India
2278,India
2279,India
2280,India
2281,India
2282,India
2283,India
2284,India
2285,India
2286,India
2287,India
2288,India
2289,India
2290,India
2291,India
2292,India
2293,India
2294,India
2295,India
2296,India
2297,India
2298,India
2299,India
2300,India
2301,India
2302,India
2303,India
2304,India
2305,India
2306,India
2307,India
2308,India
2309,India
2310,India
2311,India
2312,India
2313,India
2314,India
2315,India
2316,India
2317,India
2318,India
2319,India
2320,India
2321,India
2322,India
2323,India
2324,India
2325,India
2326,India
2327,India
2328,India
2329,India
2330,India
2331,India
2332,India
2333,India
2334,India
2335,India
2336,India
2337,India
2338,India
2339,India
2340,India
2341,India
2342,India
2343,India
2344,India
2345,India
2346,India
2347,India
2348,India
2349,India
2350,India
2351,India
2352,India
2353,India
2354,India
2355,India
2356,India
2357,India
2358,India
2359,India
2360,India
2361,India
2362,India
2363,India
2364,India
2365,India
2366,India
2367,India
2368,India
2369,India
2370,India
2371,India
2372,India
2373,India
2374,India
2375,India
2376,India
2377,India
2378,India
2379,India
2380,India
2381,India
2382,India
2383,India
2384,India
2385,India
2386,India
2387,India
2388,India
2389,India
2390,India
2391,India
2392,India
2393,India
2394,India
2395,India
2396,India
2397,India
2398,India
2399,India
2400,India
2401,India
2402,India
2403,India
2404,India
2405,India
2406,India
2407,India
2408,India
2409,India
2410,India
2411,India
2412,India
2413,India
2414,India
2415,India
2416,India
2417,India
2418,India
2419,India
2420,India
2421,India
2422,India
2423,India
2424,India
2425,India
2426,India
2427,India
2428,India
2429,India
2430,India
2431,India
2432,India
2433,India
2434,India
2435,India
2436,India
2437,India
2438,India
2439,India
2440,India
2441,India
2442,India
2443,India
2444,India
2445,India
2446,India
2447,India
2448,India
2449,India
2450,India
2451,India
2452,India
2453,India
2454,India
2455,India
2456,India
2457,India
2458,India
2459,India
2460,India
2461,India
2462,India
2463,India
2464,India
2465,India
2466,India
2467,India
2468,India
2469,India
2470,India
2471,India
2472,India
2473,India
2474,India
2475,India
2476,India
2477,India
2478,India
2479,India
2480,India
2481,India
2482,India
2483,India
2484,India
2485,India
2486,India
2487,India
2488,India
2489,India
2490,India
2491,India
2492,India
2493,India
2494,India
2495,India
2496,India
2497,India
2498,India
2499,India
2500,India
2501,India
2502,India
2503,India
2504,India
2505,India
2506,India
2507,India
2508,India
2509,India
2510,India
2511,India
2512,India
2513,India
2514,India
2515,India
2516,India
2517,India
2518,India
2519,India
2520,India
2521,India
2522,India
2523,India
2524,India
2525,India
2526,India
2527,India
2528,India
2529,India
2530,India
2531,India
2532,India
2533,India
2534,India
2535,India
2536,India
2537,India
2538,India
2539,India
2540,India
2541,India
2542,India
2543,India
2544,India
2545,India
2546,India
2547,India
2548,India
2549,India
2550,India
2551,India
2552,India
2553,India
2554,India
2555,India
2556,India
2557,India
2558,India
2559,India
2560,India
2561,India
2562,India
2563,India
2564,India
2565,India
2566,India
2567,India
2568,India
2569,India
2570,India
2571,India
2572,India
2573,India
2574,India
2575,India
2576,India
2577,India
2578,India
2579,India
2580,India
2581,India
2582,India
2583,India
2584,India
2585,India
2586,India
2587,India
2588,India
2589,India
2590,India
2591,India
2592,India
2593,India
2594,India
2595,India
2596,India
2597,India
2598,India
2599,India
2600,India
2601,India
2602,India
2603,India
2604,India
2605,India
2606,India
2607,India
2608,India
2609,India
2610,India
2611,India
2612,India
2613,India
2614,India
2615,India
2616,India
2617,India
2618,India
2619,India
2620,India
2621,India
2622,India
2623,India
2624,India
2625,India
2626,India
2627,India
2628,India
2629,India
2630,India
2631,India
2632,India
2633,India
2634,India
2635,India
2636,India
2637,India
2638,India
2639,India
2640,India
2641,India
2642,India
2643,India
2644,India
2645,India
2646,India
2647,India
2648,India
2649,India
2650,India
2651,India
2652,India
2653,India
2654,India
2655,India
2656,India
2657,India
2658,India
2659,India
2660,India
2661,India
2662,India
2663,States
2664,India
2665,India
2666,India
2667,India
2668,India
2669,India
2670,India
2671,India
2672,India
2673,India
2674,India
2675,India
2676,India
2677,India
2678,India
2679,India
2680,India
2681,India
2682,India
2683,India
2684,India
2685,India
2686,India
2687,India
2688,India
2689,India
2690,India
2691,India
2692,India
2693,States
2694,India
2695,India
2696,India
2697,India
2698,India
2699,India
2700,India
2701,India
2702,India
2703,India
2704,India
2705,India
2706,India
2707,India
2708,India
2709,India
2710,India
2711,India
2712,India
2713,India
2714,India
2715,India
2716,India
2717,India
2718,India
2719,India
2720,India
2721,India
2722,India
2723,India
2724,India
2725,India
2726,India
2727,India
2728,India
2729,India
2730,India
2731,India
2732,India
2733,India
2734,India
2735,India
2736,India
2737,India
2738,India
2739,India
2740,India
2741,India
2742,India
2743,India
2744,India
2745,India
2746,India
2747,India
2748,India
2749,India
2750,India
2751,India
2752,India
2753,India
2754,India
2755,India
2756,India
2757,India
2758,India
2759,India
2760,India
2761,India
2762,India
2763,India
2764,India
2765,India
2766,India
2767,India
2768,India
2769,India
2770,India
2771,India
2772,India
2773,India
2774,India
2775,India
2776,India
2777,India
2778,India
2779,India
2780,India
2781,India
2782,India
2783,India
2784,India
2785,India
2786,India
2787,India
2788,India
2789,India
2790,India
2791,India
2792,India
2793,India
2794,India
2795,India
2796,India
2797,India
2798,India
2799,India
2800,India
2801,India
2802,India
2803,India
2804,India
2805,India
2806,India
2807,India
2808,India
2809,India
2810,India
2811,India
2812,India
2813,India
2814,India
2815,India
2816,India
2817,India
2818,India
2819,India
2820,India
2821,India
2822,India
2823,India
2824,India
2825,India
2826,India
2827,India
2828,India
2829,India
2830,India
2831,India
2832,India
2833,India
2834,India
2835,India
2836,India
2837,India
2838,India
2839,India
2840,India
2841,India
2842,India
2843,India
2844,India
2845,India
2846,India
2847,India
2848,India
2849,India
2850,India
2851,India
2852,India
2853,India
2854,India
2855,India
2856,India
2857,India
2858,India
2859,India
2860,India
2861,India
2862,India
2863,India
2864,India
2865,India
2866,India
2867,India
2868,India
2869,India
2870,India
2871,India
2872,日本
2873,India
2874,India
2875,India
2876,India
2877,India
2878,India
2879,India
2880,India
2881,India
2882,India
2883,India
2884,India
2885,India
2886,India
2887,India
2888,India
2889,India
2890,India
2891,India
2892,India
2893,India
2894,India
2895,India
2896,India
2897,India
2898,India
2899,India
2900,India
2901,India
2902,India
2903,India
2904,India
2905,India
2906,India
2907,India
2908,India
2909,India
2910,India
2911,India
2912,India
2913,India
2914,India
2915,India
2916,India
2917,India
2918,India
2919,India
2920,India
2921,India
2922,India
2923,India
2924,India
2925,India
2926,India
2927,India
2928,India
2929,India
2930,India
2931,India
2932,India
2933,India
2934,India
2935,India
2936,India
2937,India
2938,India
2939,India
2940,India
2941,India
2942,India
2943,India
2944,India
2945,India
2946,India
2947,India
2948,India
2949,India
2950,Belgien
2951,India
2952,India
2953,India
2954,India
2955,India
2956,India
2957,India
2958,India
2959,India
2960,India
2961,India
2962,India
2963,India
2964,India
2965,India
2966,India
2967,India
2968,India
2969,India
2970,India
2971,India
2972,India
2973,India
2974,India
2975,India
2976,India
2977,India
2978,India
2979,India
2980,India
2981,India
2982,India
2983,India
2984,India
2985,India
2986,India
2987,India
2988,India
